company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,YearOpened,FiduciaryPowers,EntityType,PowersExercised,MemberFederalReserve,InstitutionType,FederalRegulator,S-Corp,Specialization
Sargent County Bank,992851,331 Main Street Sw,Forman,North Dakota,58032,https://www.sargentcountybank.com,1900,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Prime Bank,3660478,1016 West Covell Rd,Edmond,Oklahoma,73003,,2008,No,State,No,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
TINKER FEDERAL CREDIT UNION,220590,PO BOX 45750,OKLAHOMA CITY,OK,73145,,1946,,,,,Credit Union,NCUA,,
"Vast Bank, National Association",347956,110 N. Elgin Avenue,Tulsa,Oklahoma,74120,,1982,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Armstrong Bank,470452,1215 W Okmulgee St,Muskogee,Oklahoma,74401,,1910,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Banco Santander Puerto Rico,816210,207 Ponce De Leon Avenue,San Juan,Puerto Rico,917,,1972,Yes,State,Yes,No,Commercial bank,FDIC,No,All Other Specialization  > 1 Billion
FirstBank Puerto Rico,510871,1519 Ave Ponce De Leon,Santurce,Puerto Rico,909,www.1firstbank.com,1949,Yes,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Advantage Community Bank,189549,101 W Business County Road A,Dorchester,Wisconsin,54425,www.advantagecommunity.com,1906,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Nicolet National Bank,2941068,111 N. Washington Street,Green Bay,Wisconsin,54301,www.nicoletbank.com,2000,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Farmers Bank of Lincoln,742355,Main And Highway 65,Lincoln,Missouri,65338,www.fblmo.com,1890,No,State,No,Yes,Commercial bank,FED,Yes,All Other Specialization  < 1 Billion
Community National Bank & Trust,923752,14 North Lincoln Avenue,Chanute,Kansas,66720,www.mybankcnb.com,1987,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Freedom Bank,3345065,1200 4th Street North,Saint Petersburg,Florida,33701,www.freedombank.com,2005,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Seacoast National Bank,34537,815 Colorado Ave,Stuart,Florida,34994,www.seacoastbank.com,1933,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
"First American Bank, N.A.",3595682,2424 Monetary Blvd.,Hudson,Wisconsin,54016,,2007,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Hiawatha National Bank,505550,N 1555 770th Street,Hager City,Wisconsin,54014,www.hnbank.com,1917,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
The Farmers & Merchants Bank,70058,110 South Main Street,Dyer,Tennessee,38330,www.dyerfmbank.com,1895,Yes,State,Yes,No,Commercial bank,FDIC,Yes,Other Specialized Lending < 1 Billion
Security Bank and Trust Company,118156,210 West Washington Street,Paris,Tennessee,38242,www.securitybanktn.com,1905,Yes,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
Bank of Laverne,85454,111 East Jane Jayroe Boulevard,Laverne,Oklahoma,73848,www.bankoflaverne.com,1922,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Security State Bank,58551,402 Broadway,Cheyenne,Oklahoma,73628,www.ssbcheyenne.com,1912,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Franklin Synergy Bank,3635533,722 Columbia Avenue,Franklin,Tennessee,37064,www.franklinsynergybank.com,2007,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
FirstBank,436159,"211 Commerce Street, Suite 300",Nashville,Tennessee,37201,www.firstbankonline.com,1906,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Union Bank of Blair,506052,123 Urberg Street,Blair,Wisconsin,54616,www.unionbankofblair.com,1899,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Waumandee State Bank,780955,S2021 County Road U,Waumandee,Wisconsin,54622,www.waumandeebank.com,1914,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Bank of Bolivar,2535560,495 South Springfield Avenue,Bolivar,Missouri,65613,bankofbolivarmo.com,1997,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
The Bank of Missouri,330855,916 North Kings Highway,Perryville,Missouri,63775,,1891,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
SB One Bank,403106,399 Route 23,Franklin,New Jersey,7416,,1976,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Provident Bank,204004,Washington And York Streets,Jersey City,New Jersey,7303,,1839,Yes,State,Yes,No,Savings bank,FDIC,No,Commercial Lending Specialization
Freedom National Bank,3051432,584 Putnam Pike,Greenville,Rhode Island,2828,www.freedomnationalbank.com,2001,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Bristol County Savings Bank,13103,35 Broadway,Taunton,Massachusetts,2780,www.bristolcountysavings.com,1846,Yes,State,Yes,No,Savings bank,FDIC,No,Commercial Lending Specialization
Victor State Bank,616849,201 Washington Street,Victor,Iowa,52347,victorstatebank.com,1928,Yes,State,Yes,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Chelsea Savings Bank,771748,601 13th St,Belle Plaine,Iowa,52208,www.chelseasavingsbank.com,1936,Yes,State,Yes,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Bank of Akron,452104,46 Main Street,Akron,New York,14001,www.bankofakron.com,1900,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
CNB Bank,399517,One South Second Street,Clearfield,Pennsylvania,16830,,1934,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
South Porte Bank,807946,701 North Court Street,Marion,Illinois,62959,www.southportebank.com,1956,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
SouthernTrust Bank,3316739,101 North Broadway,Goreville,Illinois,62939,www.southerntrustbank.com,2005,No,State,No,No,Commercial bank,FDIC,No,All Other Specialization  < 1 Billion
State Bank of Burnettsville,225241,324 South Main Street,Burnettsville,Indiana,47926,www.bvillebank.com,1902,Yes,State,Yes,No,Commercial bank,FDIC,No,All Other Specialization  < 1 Billion
The Fountain Trust Company,145844,615 3rd St,Covington,Indiana,47932,www.fountaintrust.com,1903,Yes,State,Yes,No,Commercial bank,FDIC,No,Agricultural  Specialization
Millington Bank,793571,1902 Long Hill Road,Millington,New Jersey,7946,www.millingtonbank.com,1911,No,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
Kearny Bank,633378,614 Kearny Avenue,Kearny,New Jersey,7032,www.kearnybank.com,1884,No,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
USNY Bank,3620922,389 Hamilton Street,Geneva,New York,14456,www.usnybank.com,2007,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Wayne Bank,59316,717 Main St,Honesdale,Pennsylvania,18431,www.waynebank.com,1871,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First State Bank of Claremont,99255,7 East Highway 12,Groton,South Dakota,57445,fsbclaremont.com,1903,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Dacotah Bank,256553,308 South Main Street,Aberdeen,South Dakota,57401,www.dacotahbank.com,1955,Yes,State,Yes,Yes,Commercial bank,FED,No,Agricultural  Specialization
Iberiabank,808176,200 West Congress Street,Lafayette,Louisiana,70501,https://www.iberiabank.com,1887,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
First Horizon Bank,485559,165 Madison Avenue,Memphis,Tennessee,38103,https://www.firsthorizon.com,1864,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Centennial Bank,973364,904 Avenue O,Lubbock,Texas,79401,www.bankoncb.com,1934,Yes,State,Yes,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
Happy State Bank,466857,100 East Main Street,Happy,Texas,79042,www.happybank.com,1908,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Victory State Bank,2631323,4142 Hylan Boulevard,Staten Island,New York,10308,www.victorystatebank.com,1997,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Northfield Bank,28013,1731 Victory Blvd,Staten Island,New York,10314,www.enorthfield.com,1887,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
The First National Bank of Manchester,290230,100 West High Street,Manchester,Tennessee,37355,www.fnbmwm.com,1900,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
CapStar Bank,3715444,1201 Demonbreun St,Nashville,Tennessee,37203,www.capstarbank.com,2008,Yes,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Traders & Farmers Bank,390336,819 20th St,Haleyville,Alabama,35565,www.tradersandfarmersbank.com,1906,No,State,No,No,Commercial bank,FDIC,No,All Other Specialization  < 1 Billion
BankFirst Financial Services,914648,900 Main St,Columbus,Mississippi,39701,www.bankfirstfs.com,1888,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
The First National Bank of Brundidge,465337,137 South Main Street,Brundidge,Alabama,36010,www.f-n-b.com,1904,No,Federal,No,Yes,Commercial bank,OCC,No,Agricultural  Specialization
Troy Bank & Trust Company,134437,1000 Highway 231 S,Troy,Alabama,36081,www.troybankandtrust.com,1906,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
The Bank of Waynesboro,505831,201 South Main Street,Waynesboro,Tennessee,38485,www.thebankofwaynesboro.com,1904,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
CapStar Bank,3715444,1201 Demonbreun St,Nashville,Tennessee,37203,www.capstarbank.com,2008,Yes,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Seaside National Bank & Trust,3487518,201 South Orange Avenue,Orlando,Florida,32801,www.seasidebank.com,2006,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
United Community Bank,1017939,177 Highway 515 East,Blairsville,Georgia,30512,www.ucbi.com,1950,Yes,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Covenant Bank,3540310,"1980 South Easton Road, Suite 110",Doylestown,Pennsylvania,18901,www.yourcovenantbank.com,2007,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Citizens & Northern Bank,895710,90 Main St,Wellsboro,Pennsylvania,16901,www.cnbankpa.com,1864,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
BEST HOMETOWN BANK,682479,100 East Clay Street,Collinsville,Illinois,62234,www.besthometownbank.com,1887,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
First National Bank of Waterloo,145545,228 S Main St,Waterloo,Illinois,62298,www.fnbwaterloo.com,1912,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Park Bank,200640,330 East Kilbourn Avenue,Milwaukee,Wisconsin,53202,www.parkbankonline.com,1985,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First Midwest Bank,1007846,8750 W Bryn Mawr Ave,Chicago,Illinois,60631,www.firstmidwest.com,1933,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Center Point Bank and Trust Company,862945,901 Bank Court,Center Point,Iowa,52213,www.centerpointbank.com,1964,Yes,State,No,No,Commercial bank,FDIC,No,All Other Specialization  < 1 Billion
Hiawatha Bank and Trust Company,2536633,777 N Center Point Rd,Hiawatha,Iowa,52233,www.hiawathabank.com,1997,Yes,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Steuben Trust Company,929802,One Steuben Square,Hornell,New York,14843,www.mysteubentrust.com,1902,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
"Community Bank, National Association",202907,45-49 Court Street,Canton,New York,13617,www.communitybankna.com,1866,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,All Other Specialization  > 1 Billion
Community National Bank,3121308,901 East Highway 60,Monett,Missouri,65708,cnbbanking.com,2002,No,Federal,No,Yes,Commercial bank,OCC,Yes,All Other Specialization  < 1 Billion
Freedom Bank of Southern Missouri,2835103,97 South Main,Cassville,Missouri,65625,www.freedombk.com,1999,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
South State Bank,540926,520 Gervais Street,Columbia,South Carolina,29201,www.southstatebank.com,1934,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
"South State Bank, National Association",1929247,1101 1st St S,Winter Haven,Florida,33880,www.centerstatebank.com,1992,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
New Buffalo Savings Bank,294676,45 North Whittaker St,New Buffalo,Michigan,49117,www.newbuffalosavings.com,1921,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
TEACHERS CREDIT UNION,275590,110 S MAIN ST,SOUTH BEND,IN,46601-1805,http://WWW.TCUNET.com,1931,,,,,Credit Union,NCUA,,
Walcott Trust and Savings Bank,495044,101 West Bryant Street,Walcott,Iowa,52773,www.walcottbank.com,1931,Yes,State,Yes,No,Commercial bank,FDIC,No,Agricultural  Specialization
CBI Bank & Trust,830542,301 Iowa Ave,Muscatine,Iowa,52761,www.cbibt.com,1933,Yes,State,Yes,Yes,Commercial bank,FED,No,Agricultural  Specialization
"The Edon State Bank Company of Edon, Ohio",804815,101 North Michigan Street,Edon,Ohio,43518,www.edonstatebank.com,1893,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
The State Bank and Trust Company,614313,401 Clinton Street,Defiance,Ohio,43512,www.yourstatebank.com,1902,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Columbia Bank,216632,173 Northwest Hillsboro Street,Lake City,Florida,32055,www.columbiabankflorida.com,1912,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Millennium Bank,2820604,6392 Artesian Circle,Ooltewah,Tennessee,37363,www.millenniumbank.com,1999,Yes,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
Wellesley Bank,278078,40 Central Street,Wellesley,Massachusetts,2482,www.wellesleybank.com,1911,No,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
Cambridge Trust Company,736206,1336 Massachusetts Ave,Cambridge,Massachusetts,2138,,1890,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Melrose Bank,338178,638 Main Street,Melrose,Massachusetts,2176,melrosebank.com,1890,No,State,No,No,Savings bank,FDIC,No,Mortgage Lending Specialization
Cambridge Savings Bank,758703,1374 Massachusetts Ave,Cambridge,Massachusetts,2138,www.cambridgesavings.com,1834,Yes,State,Yes,No,Savings bank,FDIC,No,Commercial Lending Specialization
"West End Bank, S.B.",577472,34 S 7th Street,Richmond,Indiana,47374,www.westendbank.com,1893,No,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
THREE RIVERS FEDERAL CREDIT UNION,899576,PO BOX 2573,FORT WAYNE,IN,46801,,1935,,,,,Credit Union,NCUA,,
Opus Bank,2047504,"19900 Macarthur Blvd., 12th Floor",Irvine,California,92612,www.opusbank.com,1993,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Pacific Premier Bank,431172,17901 Von Karman Ave,Irvine,California,92614,www.ppbi.com,1983,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Calwest Bank,2854494,22342 Avenida Empresa,Rancho Santa Margarita,California,92688,www.calwestbancorp.com,1999,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
"Bank of Southern California, N.A.",3076453,12265 El Camino Real,San Diego,California,92130,www.banksocal.com,2001,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Central Federal Savings and Loan Association of Rolla,544577,210 W 10th St,Rolla,Missouri,65401,www.centralfederal.com,1952,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
Southern Bank,272272,2991 Oak Grove Rd,Poplar Bluff,Missouri,63901,www.bankwithsouthern.com,1887,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Dearborn Savings Bank,738572,595 West Eads Parkway,Lawrenceburg,Indiana,47025,www.dearbornsavings.com,1891,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
"FCN Bank, National Association",321947,501 Main St,Brookville,Indiana,47012,www.fcnbank.com,1900,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Lakestone Bank & Trust,184142,83 West Nepessing Street,Lapeer,Michigan,48446,,1902,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
ChoiceOne Bank,324340,109 E Division St,Sparta,Michigan,49345,www.choiceone.com,1898,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
"First Citizens Bank of Polson, National Association",620752,213 First Street West,Polson,Montana,59860,www.thehometownbank.com,1974,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Unity Bank,443353,207 West Lincoln,Augusta,Wisconsin,54722,www.unitybanking.com,1914,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
The First National Bank of Northfield,782351,329 Division Street,Northfield,Minnesota,55057,www.firstnationalnorthfield.com,1872,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
"Merchants Bank, National Association",779351,100-106 East Third Street,Winona,Minnesota,55987,www.merchantsbank.com,1875,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Timberwood Bank,962256,110 West Veterans Street,Tomah,Wisconsin,54660,https://www.timberwoodbanks.com,1907,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
"Bank First, N.A.",594947,402 N 8th St,Manitowoc,Wisconsin,54220,,1894,Yes,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
1st Equity Bank Northwest,3203996,1330 Dundee Road,Buffalo Grove,Illinois,60089,,2003,No,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
1st Equity Bank,2531562,3956 West Dempster Street,Skokie,Illinois,60076,,1997,No,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
CresCom Bank,3013823,288 Meeting Street,Charleston,South Carolina,29401,www.haveanicebank.com,2001,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
United Bank,365325,11185 Fairfax Blvd,Fairfax,Virginia,22030,www.bankwithunited.com,1979,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Putnam Bank,223005,40 Main Street,Putnam,Connecticut,6260,www.putnambank.com,1862,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Centreville Bank,876700,1218 Main Street,West Warwick,Rhode Island,2893,www.centrevillebank.com,1888,No,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
Washington Savings Bank,231671,2900 Comly Road,Philadelphia,Pennsylvania,19154,www.washingtonsav.com,1903,No,State,No,No,Savings bank,FDIC,No,Mortgage Lending Specialization
William Penn Bank,664176,1309 Woodbourne Rd,Levittown,Pennsylvania,19057,,1870,No,State,No,No,Savings bank,FDIC,No,Mortgage Lending Specialization
Ben Franklin Bank of Illinois,462774,830 East Kensington Road,Arlington Heights,Illinois,60004,www.benfrankbank.com,1893,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
CORPORATE AMERICA FAMILY CREDIT UNION,441984,2075 Big Timber Rd,Elgin,IL,60123-1140,,1976,,,,,Credit Union,NCUA,,
McFarland State Bank,663647,5990 Highway 51,Mc Farland,Wisconsin,53558,www.msbonline.com,1905,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Oregon Community Bank,247140,733 N Main St,Oregon,Wisconsin,53575,www.oregoncommunitybank.com,1976,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Fidelity Savings and Loan Association of Bucks Co,777375,237 Radcliffe St,Bristol,Pennsylvania,19007,www.fsbristol.com,1885,No,State,No,No,Savings bank,FDIC,No,Mortgage Lending Specialization
William Penn Bank,664176,1309 Woodbourne Rd,Levittown,Pennsylvania,19057,,1870,No,State,No,No,Savings bank,FDIC,No,Mortgage Lending Specialization
Fairport Savings Bank,798277,45 South Main St,Fairport,New York,14450,www.fairportsavingsbank.com,1888,No,State,No,No,Savings bank,FDIC,No,Mortgage Lending Specialization
"Evans Bank, National Association",292908,8599 Erie Rd,Angola,New York,14006,https://www.evansbank.com,1920,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Merchants Bank of Bangor,935111,25 Broadway,Bangor,Pennsylvania,18013,www.merchantsbangor.com,1890,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
The Fidelity Deposit and Discount Bank,1007819,Blakely And Drinker Streets,Dunmore,Pennsylvania,18512,www.bankatfidelity.com,1903,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
PEDESTAL BANK,2760102,1300 West Tunnell Boulevard,Houma,Louisiana,70360,,1999,No,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
b1BANK,3408728,500 Laurel Street,Baton Rouge,Louisiana,70801,www.b1bank.com,2006,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
MutualBank,810777,110 East Charles St,Muncie,Indiana,47305,www.bankwithmutual.com,1889,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Northwest Bank,1002878,Second At Liberty,Warren,Pennsylvania,16365,,1896,Yes,State,Yes,No,Savings bank,FDIC,No,Commercial Lending Specialization
Bank of the Prairie,1007659,18675 West 151st Street,Olathe,Kansas,66062,www.bankoftheprairie.com,1914,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Country Club Bank,625654,1 Ward Pkwy,Kansas City,Missouri,64112,www.countryclubbank.com,1905,Yes,State,Yes,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
Metro Bank,2496081,900 S. 12th Street,Louisville,Kentucky,40210,www.metrobankky.com,1997,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
